Centers ROI,Top-Level ROI
Bin Width (nm),0.200
Maximum Distance (nm),10.000
Bin Count,50

Center Ion Count,4088163

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50330,4088163,7380469,3225,7449,1836
Bulk Concentration (ionic %),0.43645772196298965,35.452221537718685,64.0028350240108,0.027966941254334222,0.06459713035768547,0.01592164469549074
Bulk Density (ions/nm^3),0.13100902720656374,10.641491311183533,19.21136626302802,0.008394677384088377,0.01938975250668971,0.004779109357267057

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
3.600,0.4407914870000458,35.439824425838054,64.01053112612944,0.028296211606390863,0.06487318268824341,0.01568356673783844
3.800,0.44044119240297536,35.43745415985203,64.0133404472318,0.028316034826430695,0.06480847667475642,0.015639689012018648
4.000,0.44043777278606133,35.43897358313938,64.0117867993258,0.028292171431755248,0.06485978981246243,0.015649883504521813
4.200,0.4402367940026201,35.43485348104013,64.01616406723593,0.02831789657139566,0.06483051268950943,0.015597248460414204
4.400,0.44016408629278375,35.43298886952469,64.01806300747916,0.028294085376531032,0.06489497018701887,0.015594981139824339
4.600,0.43969805062615025,35.432128274033346,64.01948138161309,0.028284557158275235,0.06483855965348409,0.015569176915646162
4.800,0.43973684894906645,35.43104473419162,64.02046376790948,0.028293604685781827,0.06489285962674736,0.01556818463729801
5.000,0.4394605831720721,35.429263187765244,64.02258155936262,0.028292967290969948,0.06486207537627739,0.01553962703281165
5.200,0.4393398804955129,35.42900952022102,64.02292803861927,0.02828712056693506,0.06488032961544282,0.015555110481827073
5.400,0.43918962006295065,35.427557762069455,64.0245908359475,0.028265231335119753,0.06488291972427443,0.015513630860699805
5.600,0.4391082410190984,35.427636841105766,64.02451451550695,0.02829080601329517,0.064930100298951,0.01551949605594406
5.800,0.4388716812287969,35.42557398567392,64.0268524504604,0.028267673698069977,0.06493089372519568,0.01550331521363087
6.000,0.43872034394006637,35.42478221874283,64.02781087742139,0.028253818941988834,0.06492728312258168,0.01550545783114773
6.200,0.4384564096022176,35.422119447853,64.03073196940157,0.02822524799461484,0.06496169749478055,0.015505227653812096
6.400,0.438422847455652,35.419929556771585,64.03305694733076,0.028221181820914345,0.06488821902670625,0.015481247594378758
6.600,0.4382156065964399,35.418182180961054,64.034986218949,0.02822446767891073,0.06491904387196111,0.015472481942621397
6.800,0.4380797097860392,35.41659170403021,64.0366995438854,0.02824118224562615,0.06491721152429505,0.015470648528417483
7.000,0.43779351447011394,35.415176555207104,64.03841795881938,0.02824311155328034,0.064907985449579,0.015460874500536053
7.200,0.43770151334177715,35.411936649984234,64.04172157885142,0.02821997714802189,0.06496902254968911,0.015451258124859807
7.400,0.4376228303819168,35.41120750152835,64.04255577809411,0.02821515725342237,0.06495364210257266,0.015445090639625575
7.600,0.4375267411891469,35.410193979343404,64.04365554312588,0.02821245863757616,0.0649819018081841,0.015429375895805085
7.800,0.4372125896811793,35.40706829724053,64.04710618028979,0.028210200470181256,0.06497243072967324,0.015430301588640411
8.000,0.437193369930187,35.40422737674244,64.04994709002855,0.028212801927983748,0.06498385991158517,0.015435501459254488
8.200,0.4369615872302758,35.40265051817683,64.05181094051943,0.02818352593146571,0.06498545023477169,0.01540797790722932
8.400,0.4369344327618505,35.4016275119479,64.05281750735628,0.028228351051896475,0.06500199202841754,0.015390204853650363
8.600,0.436716131398049,35.39863035783972,64.0560715130999,0.02822097575696061,0.06498207815550046,0.015378943749879675
8.800,0.4366823083910183,35.39794426369361,64.05676067029022,0.028224403083042297,0.06501442932791504,0.015373925214203263
9.000,0.43644620510987264,35.39619050623763,64.05873546946579,0.02820732731972737,0.06503615188465607,0.015384339982328903
9.200,0.43641218624061745,35.3967836278089,64.0582127609396,0.028202130546334515,0.06502579291412265,0.01536350155043403
9.400,0.4362674182173064,35.394670628749935,64.06043420190998,0.0282065175870854,0.06504937284746418,0.015371860688220959
9.600,0.43618995355523316,35.394264517264645,64.06094196452976,0.02820814375341906,0.06503934341643246,0.015356077480514853
9.800,0.4361277703053284,35.39365486562983,64.0615944323284,0.028219088033137753,0.06505197086280341,0.015351872840496198

,Density (ions/nm^3)
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,0.15439904187270853,13.414759870847028,21.68293367594274,0.009963818653377797,0.023562788727548373,0.005664412655693165
0.200,0.1509432578091572,12.808557876673703,21.31143612235511,0.00952584911976961,0.02282554038124105,0.005279624969172801
0.400,0.14862091994398946,12.37751693988076,21.087689894848026,0.009474368503233115,0.02219048395226247,0.00523873682778828
0.600,0.1466836763334577,12.037541341437763,20.90532533065099,0.009248862741607215,0.02183024376207429,0.005210462956604768
0.800,0.14483251718632068,11.785237798424644,20.74061377568518,0.009192345791855244,0.02144043037072415,0.005147704070322437
1.000,0.14353635152493852,11.60320823561789,20.604330822694084,0.00914812010544986,0.021089623008649624,0.005092084004823164
1.200,0.14221888603923794,11.467024035857465,20.480012966969323,0.00905264614480512,0.0207893821571437,0.005112984570034501
1.400,0.1412974409594848,11.362592112208464,20.359988568590218,0.008988796002489285,0.020667652616051677,0.005060109355486385
1.600,0.14018917713639015,11.272957254928828,20.24112027078466,0.008916054970457516,0.02049918626956383,0.004979168151688473
1.800,0.13928838441824912,11.190291200750433,20.119549306773866,0.008896260535095506,0.020420610910082706,0.004958166089657717
2.000,0.13834052448801304,11.112607588081993,19.999627007918406,0.008836013305116176,0.020316871915166523,0.004957971276605992
2.200,0.13740494926388502,11.03667563564036,19.87914732929206,0.008766829829466244,0.020161461758741814,0.00489632899457052
2.400,0.13646322837685534,10.961695825958774,19.759209281300688,0.008743884345750814,0.020039839342291664,0.004886697093922802
2.600,0.13564383127348567,10.88896708910536,19.638845345450928,0.008669405577582988,0.01991879121744818,0.004834071417910186
