Centers ROI,Top-Level ROI
Bin Width (nm),0.200
Maximum Distance (nm),10.000
Bin Count,50

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
7.200,59280201,4732715562,8657021390,3590429,8650627,3052257
7.400,62205499,4965830938,9082497131,3768639,9081033,3202160
7.600,65152756,5202224218,9515415738,3949342,9515803,3353500
7.800,68166642,5442974852,9955551832,4131979,9961869,3504128
8.000,71210628,5687097006,10402474906,4313047,10411409,3657265
8.200,74305949,5934928536,10856080165,4499749,10872396,3814348
8.400,77443443,6186616778,11316232954,4685851,11325298,3970545
8.600,80645372,6441206256,11783137803,4873356,11798491,4129473
8.800,83878282,6699513942,12256112434,5069963,12262074,4292494
9.000,87133974,6960839186,12735248395,5262180,12747423,4457985
9.200,90465805,7225257830,13220052448,5462592,13234506,4618813
9.400,93825639,7492786730,13710996773,5661279,13727940,4789842
9.600,97219360,7763496332,14207446663,5863897,14230339,4961973
9.800,100641957,8037479756,14709467742,6068401,14726413,5132593

,Concentration (ionic %)
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,0.4176879001336034,42.81560633155095,56.65105863070193,0.025286576203574117,0.06820984023317979,0.022150721176748572
0.200,0.41916912631810904,41.89013535896661,57.574664602110396,0.026142530433979586,0.06743916687785383,0.0224492152930526
0.400,0.4254143852022465,40.886505077795924,58.572550434046946,0.02579342410944644,0.06704720916272101,0.022689469682716446
0.600,0.42961347266882766,39.83411295736944,59.62055700899498,0.026235244853481523,0.06665908969065622,0.022822226422606937
0.800,0.43200417209951936,38.84143605122801,60.61115117645374,0.026419174815195304,0.06606642750188467,0.02292299790166148
1.000,0.43552713967356194,37.93232246198804,61.51695075759142,0.026455131085144003,0.06572325021686155,0.023021259444975094
1.200,0.4373858574012842,37.148161679641184,62.2993004781192,0.026774912222992026,0.06534540744579304,0.02303166516954813
1.400,0.43916695921746784,36.5017872382203,62.94414827646584,0.02683012887670247,0.064803391329205,0.02326400589048489
1.600,0.43993704492168373,35.99708976883414,63.44848368342537,0.02690044107252704,0.06442989159266391,0.02315917015361284
1.800,0.44033456825414263,35.6177731673036,63.82739067803149,0.027040817115179482,0.06415844620434778,0.023302323091230134
2.000,0.44089296460970273,35.35006112767674,64.09455588820882,0.02706193105565662,0.06398362186011755,0.0234444665889629
2.200,0.4410035390031646,35.17749736790636,64.26716892581236,0.02706479902267703,0.06388078924703569,0.02338457900840295
2.400,0.44092430534703014,35.06820571307404,64.3766343208764,0.02706722645827973,0.06383757509846835,0.023330859145774235
2.600,0.4406748756252139,35.009714645319065,64.43554992732078,0.027044603296970372,0.06375950044741628,0.023256447990550783
2.800,0.4407327830583999,34.980364700139624,64.46493630868335,0.02697664818448126,0.0637437700349602,0.02324578989918475
3.000,0.4410583378588625,34.9715382662021,64.47351795179532,0.026939721100859595,0.06368631595222142,0.02325940709064572
3.200,0.4408181731190227,34.97445189483081,64.47082493279586,0.026951512677438352,0.06375644223174926,0.02319704434510443
3.400,0.4410061068955671,34.98514491475685,64.45984394790737,0.02694231373507488,0.06387927105208742,0.02318344565305287
3.600,0.4409689389838173,34.99725053755517,64.4477002365454,0.02689359094707394,0.06401184870045445,0.023174847268077677
3.800,0.4409442346021834,35.01311155185988,64.43193416059174,0.026847306364185027,0.06403884219044871,0.023123904391558602
4.000,0.4411203911355888,35.024764960910886,64.42020386522303,0.026777428833504906,0.06405466888439597,0.02307868501260026
4.200,0.44123422026542414,35.042126217662684,64.40267105812786,0.026818475066269123,0.06409091896228164,0.023059109915481536
4.400,0.44100919662688726,35.05427320674475,64.39073257029841,0.026801149776423155,0.06416878601368686,0.023015090539830266
4.600,0.4409637875920748,35.06585788932995,64.37920960273775,0.026821073192106276,0.06413862273293046,0.023009024415188237
4.800,0.4410806303596568,35.07878293669632,64.36621073722576,0.02683385344908604,0.06411001371557004,0.022981828553601952
5.000,0.44088979301426895,35.08989017906417,64.35530422128183,0.026819290946162803,0.06420754923112687,0.022888966462437238
5.200,0.44095980728112916,35.101764309434444,64.34333858552502,0.02685145983449732,0.06419320181057168,0.02289263611432974
5.400,0.4408649468434933,35.11111173339497,64.33427539380406,0.026788464507194094,0.06413102608264656,0.02282843536763487
5.600,0.4408119874060942,35.120432813435855,64.32505255964033,0.026732934098496548,0.06416359136605185,0.022806114053178804
5.800,0.44068075969315496,35.129702139190634,64.31586873645102,0.026768723500520265,0.0641839364768054,0.022795704687867423
6.000,0.44047858697889775,35.135807714453385,64.31007904622888,0.026714776045034347,0.06413834863811477,0.02278152765568396
6.200,0.44059482478514683,35.14201724278068,64.30373223827047,0.026702310000785705,0.06417768895980043,0.02277569520311681
6.400,0.44050357276814905,35.146790396653756,64.29912001874463,0.02666809745125366,0.06417281365446732,0.022745100727735678
6.600,0.4403810945525482,35.147680579394596,64.29832799434928,0.026677379328805286,0.06421919590800487,0.02271375646676763
6.800,0.44036750672827674,35.15076666481356,64.29529298517804,0.026656673818025403,0.06421069576825784,0.022705473693852053
7.000,0.4403647313904879,35.15149546545258,64.29456356862978,0.026668673158045175,0.06422171188389184,0.02268584948522242
7.200,0.4402765455363943,35.15007748782254,64.2960618879122,0.026666267159142915,0.06424857048450058,0.02266924108521964
7.400,0.44034348880940477,35.15237969679495,64.29364827964726,0.02667763577176973,0.06428328391374748,0.022667615062872872
7.600,0.440232884691149,35.15108669079627,64.29503794705627,0.02668544399398717,0.06429765465090517,0.022659378811416178
7.800,0.4402309454821183,35.15159167340754,64.29452687133384,0.026684973302370647,0.06433532414049388,0.022630212333627407
8.000,0.44013786405305105,35.15074644312,64.29550215442985,0.026658033322503768,0.06435072190407747,0.022604783170511875
8.200,0.44008376895876405,35.150156263044295,64.29612621099398,0.026650174393014345,0.06439275823382849,0.022590824376125307
8.400,0.4400126905768042,35.15068272539716,64.29577400482358,0.02662373761135605,0.06434727914362097,0.02255956244747896
8.600,0.4400648959478016,35.14831279871793,64.29811386096405,0.026592882491218398,0.06438189303976519,0.02253366883922683
8.800,0.44004886157744194,35.14751867830699,64.29898413926541,0.02659843994408174,0.06433026017722145,0.022519620728855657
9.000,0.43994416640026934,35.14565504760634,64.30096071411414,0.026569032574460215,0.06436243095588204,0.02250860834890768
9.200,0.4400282124638661,35.14385670392755,64.30270583865358,0.02657020067614957,0.06437300832090435,0.02246603595794971
9.400,0.4400458259256071,35.14145557897323,64.30509787669145,0.02655161446169628,0.06438456225762745,0.022464541690391915
9.600,0.44004163412575376,35.13972538455896,64.30682166948031,0.02654161494403075,0.06441043869989933,0.022459258191042084
9.800,0.43999336703311015,35.13880180512488,64.30785362279371,0.026530249093795866,0.06438193605665046,0.022439019897840144

,Density (ions/nm^3)
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,0.1533111585244537,15.715346811620323,20.793610318928486,0.0092813660430355,0.02503622830724031,0.008130359353654321
0.200,0.14869980858597198,14.860481649098217,20.424551972461153,0.009274035293657475,0.023923973824169137,0.007963835615242398
0.400,0.14643483838492377,14.073827711173964,20.161664144302115,0.008878533548095546,0.023078785248965266,0.007810099849934895
0.600,0.14358596384211839,13.313408136966743,19.92645875316765,0.008768377061175094,0.02227888614063377,0.007627673679682652
0.800,0.14039722617486722,12.62309541071899,19.698044718140608,0.008585979260005523,0.021470957374019974,0.007449755184920246
1.000,0.13795388505724016,12.01512093321546,19.485587879197396,0.008379703078043843,0.02081793964160516,0.007292019004201187
1.200,0.13538163654086918,11.498265976306033,19.283159506323738,0.008287491178895488,0.020226004226572385,0.007128864525800294
1.400,0.13325728477672827,11.075808311103922,19.09926536106315,0.00814111819953338,0.019663419097467827,0.007059042564403653
1.600,0.13126321870189409,10.740386429152235,18.931009075454487,0.008026235845424466,0.019223829974519893,0.006909959622448304
1.800,0.12954470673449464,10.478609475945198,18.777768549484797,0.007955302571260424,0.018875163789743847,0.006855452259981522
2.000,0.12819531415441,10.278486062148396,18.636318533569757,0.007868605379938368,0.018604063034564088,0.0068167809441351335
2.200,0.12697008682595248,10.128013723469769,18.50327105540529,0.007792272800358635,0.018392027818054067,0.0067326943311989225
2.400,0.12587693150528811,10.01141936388313,18.378513252001476,0.007727266040018832,0.018224620350218834,0.006660592131206562
2.600,0.1248720179666498,9.920542236484676,18.25880619311392,0.0076635051726261245,0.018067237153283348,0.006590072981120854
2.800,0.12402959742081086,9.844061340943108,18.141514326754194,0.007591681269692854,0.017938566041440243,0.006541755171733159
3.000,0.12333128491291842,9.778943916331032,18.02845820907147,0.007533040719043996,0.017808336230276608,0.006503930016894797
3.200,0.12250492874945225,9.719523827958316,17.916670174752706,0.007489920655671504,0.017718140696550075,0.00644654063281465
3.400,0.12181976665167357,9.66399812417995,17.80583766382374,0.0074423150177378924,0.017645465157440695,0.006403997349418665
3.600,0.12108382917198167,9.609749646638683,17.69642629240905,0.007384599422264876,0.017576747629639747,0.006363485043098834
3.800,0.12037299824972972,9.558200073422055,17.589219881595447,0.007329023736758027,0.017481910033045778,0.00631257534269214
4.000,0.119716145715604,9.505409294095319,17.483069628915537,0.007267155716534863,0.01738386669042478,0.006263349583047813
4.200,0.11905551552193538,9.455201365204449,17.377376576102066,0.007236264160577031,0.017293258425738096,0.006221897786652143
4.400,0.11830266825188317,9.403463886257576,17.273098910462302,0.007189527009913412,0.01721356076464291,0.006173899868179291
4.600,0.11760393942522925,9.351976609302358,17.169774206875445,0.007153113148424882,0.01710561029033748,0.0061364492724754775
4.800,0.11695673379177413,9.301473688203634,17.067314355292755,0.0071152520388238025,0.016999381272773118,0.0060938509179152165
5.000,0.11622520334316853,9.250224627493688,16.96502944237559,0.007069969849895094,0.016926078997053822,0.006033876999564913
5.200,0.1155743483547521,9.200075537901736,16.86421144331236,0.007037693507443245,0.016824861009003378,0.006000096737499981
5.400,0.11488124023359171,9.149305452366926,16.76432068298091,0.006980577722439152,0.016711357676714306,0.005948667469263075
5.600,0.11420208256633832,9.09872390614142,16.664825761039495,0.006925757090050444,0.016622995672275452,0.0059084276165999
5.800,0.1135003719663812,9.047897309250844,16.564996007565718,0.00689446953955919,0.016531015943279343,0.005871191116013956
6.000,0.11277983758423463,8.996148290897032,16.465908864283683,0.0068400330743036,0.01642193912748394,0.005832966833985679
6.200,0.11214436944655228,8.944679199746162,16.36719520806292,0.006796524946167342,0.016335113478564874,0.005797085743133552
6.400,0.11145444846718552,8.89270003971704,16.268705639730342,0.006747455132816908,0.016236748109670008,0.005754874224992117
6.600,0.11075161948809094,8.83930439696381,16.170412499169878,0.006709104911429741,0.016150511538786876,0.005712291795606232
6.800,0.11007970673323014,8.786720243413498,16.072046388523976,0.006663431773548679,0.016050899422213476,0.005675740937445089
7.000,0.10941339086682214,8.73377007457134,15.974681242372956,0.006626120922370834,0.015956580451620777,0.005636545208865816
7.200,0.10873109083352292,8.680694683559684,15.87861314950401,0.006585525270575835,0.015866884629893982,0.005598416124031971
7.400,0.1080929771806244,8.629003205393026,15.782433561448796,0.006548671998097968,0.01577988937674943,0.005564315267508877
7.600,0.10740979500343009,8.57630392208212,15.686962709466847,0.0065108222684921654,0.01568760114342707,0.00552852664504327
7.800,0.10676071781942852,8.524637347877833,15.592111165940175,0.006471391741063091,0.015602004940526666,0.005488068791934307
8.000,0.10608883409270346,8.472576463426844,15.497496166669743,0.006425531419509914,0.015510806084623768,0.005448554390196519
8.200,0.10542979193279137,8.420836946533932,15.403265665870888,0.006384517083817691,0.015426415563186106,0.005412028530841573
8.400,0.10477163650295057,8.369746219155974,15.30949812806229,0.0063393911564467425,0.015321762041798593,0.005371668424641294
8.600,0.10414508557508459,8.318145977898027,15.216693337795617,0.006293430919481058,0.015236520390182655,0.00533278362166897
8.800,0.10350663742957943,8.267267092440047,15.124165108701181,0.006256384960559669,0.015131521740665512,0.005296980452301647
9.000,0.10284998160387739,8.216338006431897,15.032254389620276,0.006211298433333151,0.015046624879600274,0.005262053986431989
9.200,0.10223951484669898,8.165592017685722,14.940581676484669,0.006173523309558336,0.014956916292025774,0.005219930340393547
9.400,0.10161907622486578,8.115159928221036,14.849873030914031,0.0061315217073153305,0.014868223612848338,0.005187700552756838
9.600,0.10099755636997669,8.065205926260749,14.759584873010681,0.0060917832395238685,0.014783366865574694,0.005154808134653451
9.800,0.10037160670801204,8.01588900932084,14.669954312237925,0.006052099707466012,0.014686854050898033,0.005118805529470136

,Bulk Normalized Concentration
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,0.9643103006425738,1.2160799891638152,0.8817949151105817,0.9445666142079828,1.0705785373100192,0.9498853667447886
0.200,0.9677299871282092,1.1897940895412178,0.8961711874846406,0.9765403295430315,1.058482535462366,0.962685635904162
0.400,0.9821483302744362,1.1612882523939079,0.9117036536685235,0.9634996483409534,1.0523306149195268,0.9729884214079334
0.600,0.9918427056586121,1.1313974460254543,0.9280162679625625,0.9800036274055878,1.0462389370137553,0.9786814046545056
0.800,0.9973620804981009,1.1032027146016912,0.9434352366617624,0.9868742333661856,1.0369368859166563,0.9830027697502667
1.000,1.0054955072011307,1.0773814092769334,0.957534345911658,0.9882173607192747,1.031550592171031,0.9872165017259704
1.200,1.0097867032119707,1.055109104446899,0.969711911910852,1.0001626151591378,1.0256202108682622,0.9876627285293071
1.400,1.0138987084371394,1.0367503074785225,0.9797492090655102,1.0022252039107062,1.0171130685071077,0.9976261536094996
1.600,1.0156765946931583,1.0224155229060605,0.9875993782965249,1.0048516786146307,1.0112508527290778,0.993130501681417
1.800,1.0165943513342133,1.0116418969270913,0.9934972073789708,1.0100953510777058,1.006990417492907,0.9992693031933033
2.000,1.0178835133073891,1.0040381448809934,0.9976557337953005,1.0108840511021187,1.0042464850911839,1.005364817077339
2.200,1.0181387948862148,0.9991368634770444,1.0003425202829603,1.0109911824858349,1.0026324893960672,1.002796668800372
2.400,1.0179558692358823,0.996032682412902,1.0020463900972436,1.0110818580525858,1.0019542274355324,1.0004930096550382
2.600,1.0173800142734646,0.9943713765682329,1.002963433546016,1.0102367818861397,1.0007288170630908,0.9973020495546724
2.800,1.0175137043666829,0.9935377580801659,1.0034208435624454,1.0076983547774159,1.0004819224522703,0.9968450005518321
3.000,1.0182653082494126,0.9932870632843483,1.0035544200470219,1.006318963195563,0.9995801594859489,0.99742894410842
3.200,1.0177108432232422,0.9933698182836304,1.0035125021991051,1.006759431271411,1.0006808172430592,0.9947546537795849
3.400,1.0181447233440273,0.9936735292121897,1.003341579062422,1.0064158096686835,1.0026086607678002,0.9941715035298222
3.600,1.0180589142982248,0.994017361914859,1.003152557653319,1.0045957958191882,1.0046895157351123,0.9938027805433153
3.800,1.0180018796326935,0.9944678579782439,1.00290715278458,1.002866859825741,1.005113188491655,0.9916182063906619
4.000,1.0184085697944962,0.9947988465771844,1.0027245663500297,1.000256621807262,1.0053615942759024,0.9896790719479014
4.200,1.0186713655383477,0.9952919536176197,1.002451661650315,1.0017898820159972,1.005930552584961,0.9888396366014262
4.400,1.0181518565641596,0.9956369612355641,1.0022658346222495,1.0011427050222346,1.007152704604568,0.9869519616832715
4.600,1.0180470213510784,0.9959659978154407,1.0020864753225722,1.0018869336257339,1.006679280815826,0.98669182915827
4.800,1.0183167746388775,0.9963331044106276,1.001884143119296,1.0023643333324752,1.006230251762908,0.9855255939485583
5.000,1.0178761910887055,0.9966485803862272,1.0017143791195864,1.0018203587757832,1.0077611075635322,0.981543405702007
5.200,1.0180378320620342,0.9969858380725997,1.001528129523878,1.0030220105016772,1.0075359195194078,0.9817007707198736
5.400,1.017818829076536,0.9972513304059465,1.0013870575551032,1.0006688535324342,1.0065600485947626,0.9789476617202643
5.600,1.0176965623530234,0.9975160745001288,1.0012435006920002,0.9985945446300842,1.007071172698791,0.9779904608328013
5.800,1.0173935987400566,0.9977793486314384,1.0011005510493043,0.9999314387205263,1.0073904966971687,0.9775440779043412
6.000,1.0169268453799407,0.9979527636203999,1.0010104323556497,0.997916260194053,1.0066749787968525,0.9769361267993868
6.200,1.0171952020018449,0.9981291311599017,1.0009116419160677,0.9974505977368778,1.007292439619273,0.9766860147916754
6.400,1.0169845297273612,0.9982647017475349,1.0008398509941756,0.9961726061331614,1.007215919908413,0.9753740374417789
6.600,1.0167017659583595,0.9982899853651358,1.0008275228382444,0.9965193257357619,1.0079439064420217,0.9740299071722761
6.800,1.0166703959356604,0.9983776386075958,1.000780281785399,0.9957458823856086,1.0078104936214347,0.9736747185205931
7.000,1.0166639885515425,0.9983983385333736,1.0007689281440233,0.9961941113543687,1.0079833956092117,0.972833177134085
7.200,1.016460395085114,0.998358064101485,1.0007922500440265,0.996104236544169,1.0084049512272224,0.9721209621230341
7.400,1.0166149460972504,0.998423453115027,1.0007546813286918,0.9965289050263986,1.008949791270552,0.9720512337010622
7.600,1.0163595958932023,0.9983867282182992,1.0007763120216495,0.996820577017242,1.009175345277331,0.9716980400206796
7.800,1.016355118868029,0.9984010711016789,1.0007683569368873,0.9968029945820804,1.0097665817752797,0.970447299233056
8.000,1.0161402230551044,0.9983770642563489,1.000783537583033,0.9957966659528178,1.0100082553396628,0.9693568250340774
8.200,1.0160153344561804,0.9983603015326236,1.0007932512568511,0.9955030998187805,1.0106680310005485,0.9687582325810643
8.400,1.0158512367749812,0.9983752544992452,1.0007877690360836,0.9945155678911485,1.0099542199476839,0.9674176329536102
8.600,1.015971762595781,0.9983079421181459,1.0008241897720174,0.9933629912779777,1.010497497782348,0.966307242037908
8.800,1.0159347442658335,0.9982853869327011,1.0008377359792626,0.9935705869758882,1.0096871010086532,0.9657048194636938
9.000,1.015693035952658,0.9982324547381947,1.000868502106023,0.9924720903137642,1.0101920332155732,0.9652325775677236
9.200,1.0158870719417994,0.9981813768731638,1.0008956656221568,0.9925157241315212,1.0103580488510806,0.9634069534322547
9.400,1.015927735898264,0.9981131783759659,1.0009328985888395,0.9918214459692366,1.0105393921387191,0.9633428750270495
9.600,1.015918058347692,0.9980640361359082,1.0009597300682977,0.9914479193016086,1.0109455324202903,0.963116303680791
9.800,1.015806624775871,0.9980378039611381,1.000975792807572,0.9910233540070614,1.0104981729481888,0.9622484286167234

,Bulk Normalized Density
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,1.2441051878024294,1.5689259176151844,1.1376479414726306,1.218632865560044,1.381207181267071,1.2254948555432146
0.200,1.2066845301252358,1.483581309849003,1.1174562353810888,1.2176703464567329,1.3198459466369281,1.200394613859812
0.400,1.1883045165341668,1.4050465014099802,1.103073269077681,1.1657414145200604,1.273218295088517,1.1772219124696006
0.600,1.1651861758196707,1.329130774411614,1.090204848204957,1.1512779923585534,1.2290891882934218,1.1497246859097328
0.800,1.1393098788002636,1.2602140944011635,1.0777079920666353,1.1273293673306768,1.1845170985718838,1.122906904486662
1.000,1.1194824025143415,1.1995175710321389,1.066084176780672,1.1002455379078115,1.1484911936137778,1.099131217632506
1.200,1.0986088551852748,1.1479178737894744,1.0550090331109006,1.0881382198280323,1.1158350987716834,1.074538826910039
1.400,1.0813699465766533,1.1057422356711546,1.0449479233470933,1.0689196131645815,1.0847982105128973,1.0640145129438845
1.600,1.0651882937054675,1.0722557278493776,1.035742383086089,1.0538356899855057,1.0605468078666371,1.0415431349311266
1.800,1.0512427357009524,1.046121487769027,1.0273583763529772,1.0445222313031013,1.0413114728805604,1.0333272013682089
2.000,1.0402925457381151,1.0261423670794811,1.0196194451640759,1.0331389881245734,1.0263552939663059,1.0274982463902798
2.200,1.0303499447543245,1.0111201117728084,1.0123402287446863,1.0231166067469268,1.0146576628322876,1.0148238113387633
2.400,1.0214790953093023,0.9994800305963649,1.0055145522003974,1.0145812926276099,1.0054220705563979,1.0039557953851672
2.600,1.0133243193703194,0.9904074035520528,0.9989652090591921,1.006209562843321,0.9967395006760459,0.9933263936713952
2.800,1.0064881583140945,0.9827720099043058,0.9925480045300605,0.9967791656106899,0.9896409288976475,0.9860434158520786
3.000,1.000821420014431,0.9762710770017818,0.9863625438245881,0.9890797276245262,0.9824563662635766,0.9803420033254966
3.200,0.9941156198637081,0.9703389319595861,0.9802464617602702,0.9834181120663099,0.9774804282998987,0.971691660592318
3.400,0.9885555958671763,0.9647955789050238,0.9741826577371756,0.9771675456407585,0.9734710393740396,0.9652790811881539
3.600,0.9825835345691274,0.9593797364533175,0.9681966062745148,0.9695895532231915,0.96968000736583,0.9591726324050717
3.800,0.9768152105506054,0.9542333364132137,0.962331191336747,0.9622925285642518,0.9644479744948157,0.9514989770066042
4.000,0.9714849159184855,0.9489630218035751,0.9565235603099133,0.9541693274727858,0.9590390859337385,0.944079143198494
4.200,0.9661239659454217,0.943950563481725,0.9507409433368642,0.9501133011094307,0.9540403782876989,0.9378310844072075
4.400,0.9600146833380148,0.938785404061139,0.9450357642055299,0.9439767660802951,0.9496435905413982,0.9305963239733006
4.600,0.9543445666519642,0.9336452233059334,0.9393827229810412,0.9391956672456928,0.9436881419609614,0.9249513690118174
4.800,0.9490925556835125,0.9286033147323043,0.9337769990375406,0.9342245463705424,0.9378276632930779,0.9185304886918422
5.000,0.9431562570154641,0.923486916057487,0.9281808462367933,0.928279046171848,0.9337836983481892,0.9094905772675052
5.200,0.9378746318853088,0.9184803318981452,0.9226649503755889,0.9240411989078228,0.9281996698654226,0.904398854309298
5.400,0.932250126679407,0.9134117512304756,0.9171997850618115,0.9165419609265261,0.9219378793220734,0.8966468840817641
5.600,0.9267388280544543,0.9083619931960192,0.9117562766283294,0.9093440738881419,0.9170630941274199,0.8905815024323819
5.800,0.9210445145671332,0.9032877707737155,0.9062944490863475,0.9052360538903613,0.9119887250706525,0.8849688181804863
6.000,0.9151974479123236,0.8981214593279888,0.9008732508022479,0.8980886075621176,0.9059711380987848,0.8792072449283237
6.200,0.9100406855841094,0.8929830941343558,0.8954724865255144,0.8923760395392643,0.9011811110893847,0.8737988625508833
6.400,0.9044420437248674,0.8877938067248502,0.8900839824152834,0.8859332285372559,0.8957544568730113,0.8674362903598096
6.600,0.8987386546992735,0.8824631061805059,0.8847062251473357,0.8808978878377073,0.8909969283215887,0.8610178104527094
6.800,0.8932861478359873,0.8772134198484208,0.8793244755824171,0.8749010564836759,0.8855014931041122,0.8555084735717956
7.000,0.8878790591798733,0.8719271927460615,0.8739974902060942,0.8700021839172329,0.8802980719692011,0.8496004734891698
7.200,0.8823422605591132,0.86662846421376,0.8687414684562748,0.864672020744395,0.8753497022875397,0.8438532493779198
7.400,0.8771640301314044,0.8614678972350192,0.8634793466465236,0.8598332277438033,0.8705503184943885,0.8387132029887175
7.600,0.8716200729984601,0.8562067170385319,0.8582560007935414,0.8548636010491636,0.8654589297657425,0.8333187584370303
7.800,0.8663528745787721,0.851048636321945,0.8530665381853866,0.8496864173879833,0.8607367292535734,0.8272205174252019
8.000,0.8609006032759932,0.8458511900365896,0.8478900172493153,0.843665009029481,0.8557054396699105,0.8212644835104449
8.200,0.8555525400429025,0.8406858271597007,0.8427345327705009,0.8382798731344088,0.8510497546038471,0.8157589147173925
8.400,0.8502116725383714,0.8355852355345882,0.8376043776541571,0.8323548899015389,0.8452761934463338,0.809675407166722
8.600,0.8451272725032875,0.8304337771012987,0.8325268958226557,0.8263203627623643,0.8405735529403374,0.8038142731222623
8.800,0.8399463277005051,0.82535433450221,0.8274645450455245,0.8214562702496391,0.8347809516364708,0.7984176359057198
9.000,0.8346176293381723,0.8202698801814465,0.8224359791179193,0.815536460211177,0.8300973326531582,0.7931531448317387
9.200,0.8296637507888465,0.8152037051925488,0.8174204348334813,0.8105766291777774,0.8251482587008572,0.7868038176653285
9.400,0.8246289515246262,0.8101688680242004,0.8124576360542203,0.8050618663010439,0.8202552307294568,0.7819457988218829
9.600,0.8195853781589838,0.8051817602432799,0.8075178427522077,0.7998442504185185,0.8155738247574787,0.7769879012162919
9.800,0.814505857338396,0.8002582552076364,0.8026140275228081,0.7946338475356909,0.810249372883985,0.7715612028971732
