Centers ROI,Top-Level ROI
Bin Width (nm),0.200
Maximum Distance (nm),10.000
Bin Count,50

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50077,4070457,7427517,3095,7366,2696
Bulk Concentration (ionic %),0.43314677843353394,35.20788658071025,64.2451636541787,0.02677055892429234,0.06371306527829963,0.023319362474924766
Bulk Density (ions/nm^3),0.12323006127420823,10.016627703816718,18.277719811993997,0.007616211826660432,0.018126338066294264,0.006634348007973029

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,20912,2143610,2836297,1266,3415,1109
0.200,141981,14189030,19501695,8855,22843,7604
0.400,379507,36474354,52251860,23010,59812,20241
0.600,724662,67191254,100566567,44253,112439,38496
0.800,1168181,105030994,163898406,71440,178650,61986
1.000,1712368,149139030,241867035,104014,258405,90513
1.200,2345229,199185558,334044011,143565,350377,123494
1.400,3071846,255319456,440276132,187669,453281,162725
1.600,3885300,317907970,560344705,237571,569012,204530
1.800,4788624,387342116,694120782,294068,697721,253412
2.000,5787912,464065112,841414309,355261,839958,307772
2.200,6875649,548449396,1001984013,421965,995960,364587
2.400,8052686,640457434,1175722943,494334,1165878,426096
2.600,9316960,740192212,1362327363,571790,1348034,491699
2.800,10675211,847277054,1561437732,653415,1543970,563048
3.000,12129148,961720768,1773028133,740845,1751380,639636
3.200,13652035,1083150538,1996646264,834682,1974522,718407
3.400,15270563,1211418280,2232028293,932922,2211925,802765
3.600,16962051,1346183588,2479007208,1034473,2462242,891430
3.800,18734258,1487590978,2737499174,1140653,2720798,982458
4.000,20591576,1634962074,3007146236,1249975,2990083,1077317
4.200,22524116,1788829786,3287626315,1369029,3271712,1177121
4.400,24511737,1948351944,3578902014,1489635,3566566,1279202
4.600,26580684,2113721158,3880689242,1616737,3866187,1386952
4.800,28731660,2285005496,4192766481,1747937,4176078,1497019
5.000,30929960,2461678444,4514749529,1881467,4504384,1605741
5.200,33216033,2644098946,4846769303,2022631,4835460,1724426
5.400,35555385,2831681458,5188504885,2160467,5172113,1841094
5.600,37962196,3024529260,5539595843,2302208,5525691,1964035
5.800,40422757,3222376702,5899564880,2455441,5887463,2091004
6.000,42935159,3424823670,6268553230,2603993,6251814,2220604
6.200,45538433,3632163402,6646222419,2759863,6633195,2354021
6.400,48177185,3843949352,7032293929,2916648,7018480,2487596
6.600,50864523,4059597538,7426530847,3081268,7417391,2623465
6.800,53619022,4279947322,7828576533,3245709,7818276,2764612
7.000,56428555,4504330056,8238737251,3417337,8229402,2906976
